Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m)
2299,NS-59,North Star,Residential,Nano,Lowrise,Medium,Medium,9,7,1035,38,47,467,368
2299,NS-60,North Star,Residential,Nano,Lowrise,Medium,Medium,4,3,1032,19,23,449,374
2299,NS-61,North Star,Residential,Nano,Lowrise,Medium,Medium,9,7,917,39,48,432,380
2299,NS-62,North Star,Residential,Nano,Lowrise,Medium,Medium,4,3,1116,18,22,347,429
2299,NS-66,North Star,Residential,Nano,Lowrise,Medium,Medium,10,8,1156,40,50,347,478
2299,NS-73,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,1022,15,18,503,447
2299,NS-74,North Star,Residential,Nano,Lowrise,Medium,Medium,3,2,1022,12,15,450,461
2299,NS-75,North Star,Residential,Nano,Lowrise,Medium,Medium,2,2,1194,12,14,349,496
2299,NS-77,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,1022,15,18,506,467
2299,NS-79,North Star,Residential,Nano,Lowrise,Medium,Medium,2,2,1194,12,14,352,514
2299,NS-81,North Star,Residential,Nano,Lowrise,Medium,Medium,3,2,1022,13,16,509,479
2299,NS-83,North Star,Residential,Nano,Lowrise,Medium,Medium,2,2,1194,11,13,354,533
2299,NS-89,North Star,Residential,Nano,Lowrise,Medium,Medium,3,2,1022,13,16,508,487
2299,NS-90,North Star,Residential,Nano,Lowrise,Medium,Medium,3,2,1022,13,16,455,518
2299,NS-91,North Star,Residential,Nano,Lowrise,Medium,Medium,2,2,1194,12,14,353,551
2299,NS-93,North Star,Residential,Nano,Lowrise,Medium,Medium,3,2,974,13,16,508,488
2299,NS-97,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,873,15,18,532,480
2299,NS-98,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,980,15,18,515,497
2299,NS-99,North Star,Residential,Nano,Lowrise,Medium,Medium,5,4,980,22,27,497,515
2299,NS-100,North Star,Residential,Nano,Lowrise,Medium,Medium,4,3,980,16,20,478,533
2299,NS-101,North Star,Residential,Nano,Lowrise,Medium,Medium,4,3,980,16,20,460,551
2299,NS-102,North Star,Residential,Nano,Lowrise,Medium,Medium,5,4,873,22,27,443,569
2299,NS-110,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,871,15,18,536,495
2299,NS-111,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,975,15,18,519,512
2299,NS-112,North Star,Residential,Nano,Lowrise,Medium,Medium,4,3,971,17,21,501,530
2299,NS-113,North Star,Residential,Nano,Lowrise,Medium,Medium,4,3,968,17,21,483,548
2299,NS-115,North Star,Residential,Nano,Lowrise,Medium,Medium,4,3,857,16,20,447,582
2299,NS-126,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,989,15,18,524,534
2299,NS-127,North Star,Residential,Nano,Lowrise,Medium,Medium,4,3,989,19,23,470,584
2299,NS-132,North Star,Residential,Nano,Lowrise,Medium,Medium,5,4,1022,23,28,471,590
2299,NS-145,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,1022,15,18,526,549
2299,NS-146,North Star,Residential,Nano,Lowrise,Medium,Medium,10,8,1022,41,51,473,598
2299,NS-150,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,1022,15,18,528,558
2299,NS-170,North Star,Residential,Nano,Lowrise,Medium,Medium,3,3,974,15,18,532,576
2344,SM-24,Space Mind,Commercial,Nano,Lowrise,Far,Far,5,4,1188,24,29,1432,779
2344,SM-26,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,1016,17,21,1394,792
2344,SM-33,Space Mind,Commercial,Nano,Lowrise,Far,Far,3,2,1091,14,17,1702,776
2344,SM-35,Space Mind,Commercial,Nano,Lowrise,Far,Far,3,3,1091,15,18,1665,814
2344,SM-36,Space Mind,Commercial,Nano,Lowrise,Far,Far,3,3,977,15,18,1647,829
2344,SM-44,Space Mind,Commercial,Nano,Lowrise,Far,Far,3,2,1052,13,16,1726,754
2344,SM-55,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,1124,17,21,1874,634
2344,SM-69,Space Mind,Commercial,Nano,Lowrise,Far,Far,5,4,812,21,26,1815,706
2344,SM-124,Space Mind,Commercial,Nano,Lowrise,Far,Far,5,4,1021,22,27,871,1225
2344,SM-149,Space Mind,Commercial,Nano,Lowrise,Far,Far,6,4,783,24,30,720,1331
2344,SM-150,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,525,16,20,687,1364
2344,SM-180,Space Mind,Commercial,Nano,Lowrise,Far,Far,6,5,1065,27,33,831,1160
2344,SM-300,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,4,1065,20,24,1059,779
2344,SM-318,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,946,17,21,1055,753
2344,SM-320,Space Mind,Commercial,Nano,Lowrise,Far,Far,7,6,979,30,37,1042,786
2344,SM-342,Space Mind,Commercial,Nano,Lowrise,Far,Far,6,5,954,26,32,992,802
2344,SM-344,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,954,18,22,972,850
2344,SM-377,Space Mind,Commercial,Nano,Lowrise,Far,Far,5,4,917,20,25,874,921
2344,SM-378,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,4,1156,20,24,855,973
2344,SM-382,Space Mind,Commercial,Nano,Lowrise,Far,Far,7,5,954,29,36,955,766
2344,SM-383,Space Mind,Commercial,Nano,Lowrise,Far,Far,5,4,982,21,26,924,810
2344,SM-387,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,954,19,23,939,779
2344,SM-404,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,1040,18,22,843,913
2344,SM-408,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,1188,19,23,801,1006
2344,SM-416,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,907,16,20,875,849
2344,SM-417,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,587,16,20,724,1129
2344,SM-425,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,986,16,20,831,877
2344,SM-432,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,993,17,21,849,836
2344,SM-434,Space Mind,Commercial,Nano,Lowrise,Far,Far,6,4,999,24,30,685,1174
2344,SM-438,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,1035,16,20,623,1237
2344,SM-469,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,1031,16,20,618,1243
2344,SM-478,Space Mind,Commercial,Nano,Lowrise,Far,Far,6,5,947,25,31,750,929
2344,SM-481,Space Mind,Commercial,Nano,Lowrise,Far,Far,4,3,1105,16,20,710,958
2377,NS-95,North Star,Residential,Micro,Lowrise,Medium,Far,6,5,1213,26,32,356,619
2377,NS-103,North Star,Residential,Micro,Lowrise,Medium,Far,5,4,1259,22,27,358,638
2377,NS-107,North Star,Residential,Micro,Lowrise,Medium,Far,7,6,1259,31,38,360,660
2377,NS-116,North Star,Residential,Micro,Lowrise,Medium,Far,4,4,1259,20,24,362,665
2377,NS-120,North Star,Residential,Micro,Lowrise,Medium,Far,6,5,1206,26,32,366,670
2377,NS-134,North Star,Residential,Micro,Lowrise,Medium,Far,4,3,1304,18,22,342,713
2377,NS-163,North Star,Residential,Micro,Lowrise,Medium,Far,4,3,1299,17,21,348,734
2377,NS-164,North Star,Residential,Micro,Lowrise,Medium,Far,5,4,1296,22,27,324,756
2377,NS-198,North Star,Residential,Micro,Lowrise,Medium,Far,10,8,2199,43,53,378,761
2377,NS-199,North Star,Residential,Micro,Lowrise,Medium,Far,9,7,2379,39,48,349,788
2377,NS-273,North Star,Residential,Micro,Lowrise,Medium,Far,6,5,1714,25,31,368,841
2377,NS-284,North Star,Residential,Micro,Lowrise,Medium,Far,4,3,1714,18,22,367,853
2377,NS-294,North Star,Residential,Micro,Lowrise,Medium,Far,4,4,1714,20,24,367,866
2377,NS-321,North Star,Residential,Micro,Lowrise,Medium,Far,4,3,1714,16,20,367,878
2377,NS-328,North Star,Residential,Micro,Lowrise,Medium,Far,4,3,1655,18,22,367,891
2377,NS-366,North Star,Residential,Micro,Lowrise,Medium,Far,5,4,1588,23,28,310,983
2377,NS-407,North Star,Residential,Micro,Lowrise,Medium,Far,4,3,1444,18,22,399,961
2377,NS-408,North Star,Residential,Micro,Lowrise,Medium,Far,4,3,1543,16,20,369,981
2377,NS-409,North Star,Residential,Micro,Lowrise,Medium,Far,10,8,1543,42,52,339,1002
2377,NS-932,North Star,Residential,Micro,Lowrise,Medium,Far,10,8,1970,44,54,307,911
2377,NS-941,North Star,Residential,Micro,Lowrise,Medium,Far,15,12,1483,63,78,309,946
2377,NS-944,North Star,Residential,Micro,Lowrise,Medium,Far,12,10,1501,52,64,311,1004
2399,HH-845,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,4,3,1135,16,20,574,481
2399,HH-846,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,4,3,1103,16,20,557,500
2399,HH-850,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,4,3,1118,16,20,598,470
2399,HH-851,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,4,4,1095,20,24,578,489
2399,HH-861,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,4,3,1135,18,22,486,567
2399,HH-868,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,5,4,1096,22,27,529,522
2399,HH-869,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,4,3,1129,16,20,510,542
2399,HH-870,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,5,4,1126,21,26,490,562
2399,HH-877,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,4,3,1023,16,20,600,454
2399,HH-886,Haven Heights,Residential,Nano,Lowrise,Medium,Medium,4,3,919,16,20,594,467
2409,HH-140,Haven Heights,Residential,Micro,Lowrise,Medium,Far,3,3,2011,15,18,533,867
2409,HH-146,Haven Heights,Residential,Micro,Lowrise,Medium,Far,6,5,2011,27,33,529,893
2409,HH-168,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,4,2011,20,24,525,919
2409,HH-186,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1908,18,22,523,945
2409,HH-206,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1426,16,20,538,1002
2409,HH-207,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1380,16,20,443,1068
2409,HH-209,Haven Heights,Residential,Micro,Lowrise,Medium,Far,6,5,1487,25,31,390,1107
2409,HH-210,Haven Heights,Residential,Micro,Lowrise,Medium,Far,5,4,1487,23,28,336,1148
2409,HH-220,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1426,16,20,541,1016
2409,HH-229,Haven Heights,Residential,Micro,Lowrise,Medium,Far,5,4,1426,23,28,544,1030
2409,HH-244,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1414,16,20,450,1109
2409,HH-245,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1521,19,23,423,1127
2409,HH-246,Haven Heights,Residential,Micro,Lowrise,Medium,Far,5,4,1518,23,28,396,1146
2409,HH-247,Haven Heights,Residential,Micro,Lowrise,Medium,Far,5,4,1512,21,26,341,1186
2409,HH-261,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1212,18,22,346,1231
2409,HH-277,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1345,16,20,425,1190
2409,HH-278,Haven Heights,Residential,Micro,Lowrise,Medium,Far,6,5,1282,27,33,347,1244
2409,HH-283,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,2120,17,21,563,1114
2409,HH-288,Haven Heights,Residential,Micro,Lowrise,Medium,Far,7,6,1345,31,38,424,1218
2409,HH-314,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1345,16,20,422,1232
2409,HH-455,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1329,16,20,387,1432
2409,HH-487,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1328,16,20,378,1461
2409,HH-497,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1392,16,20,361,1519
2409,HH-517,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1455,16,20,574,1433
2409,HH-548,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1478,17,21,543,1483
2409,HH-571,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1716,16,20,592,1422
2409,HH-573,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,2006,18,22,430,1596
2409,HH-579,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1718,19,23,577,1422
2409,HH-584,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1719,16,20,562,1421
2409,HH-595,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1391,19,23,594,1340
2409,HH-596,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1720,16,20,547,1421
2409,HH-598,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1465,16,20,578,1336
2409,HH-600,Haven Heights,Residential,Micro,Lowrise,Medium,Far,6,5,2275,28,34,446,1560
2409,HH-623,Haven Heights,Residential,Micro,Lowrise,Medium,Far,8,6,2123,32,40,464,1448
2409,HH-644,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1376,16,20,500,1255
2409,HH-645,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,2098,16,20,483,1289
2409,HH-646,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,2098,16,20,467,1330
2409,HH-647,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,2078,16,20,418,1454
2409,HH-702,Haven Heights,Residential,Micro,Lowrise,Medium,Far,7,5,1851,29,36,409,1234
2409,HH-703,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1208,17,21,382,1278
2409,HH-831,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1637,16,20,357,630
2409,HH-832,Haven Heights,Residential,Micro,Lowrise,Medium,Far,5,4,2182,20,25,371,629
2409,HH-838,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,2041,16,20,414,610
2409,HH-841,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,2041,17,21,432,604
2409,HH-842,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1397,16,20,374,672
2409,HH-848,Haven Heights,Residential,Micro,Lowrise,Medium,Far,5,4,2066,21,26,400,672
2409,HH-853,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,2047,16,20,365,700
2409,HH-854,Haven Heights,Residential,Micro,Lowrise,Medium,Far,4,3,1421,16,20,332,732
2457,DZ-120,District ZERO,Commercial,Nano,Lowrise,Far,Far,5,4,982,21,26,1179,801
2457,DZ-241,District ZERO,Commercial,Nano,Lowrise,Far,Far,5,4,744,21,26,1076,1095
2457,DZ-246,District ZERO,Commercial,Nano,Lowrise,Far,Far,4,3,1137,16,20,1133,1058
2457,DZ-247,District ZERO,Commercial,Nano,Lowrise,Far,Far,4,3,1009,19,23,1114,1073
2457,DZ-321,District ZERO,Commercial,Nano,Lowrise,Far,Far,4,3,946,16,20,1357,612
2457,DZ-327,District ZERO,Commercial,Nano,Lowrise,Far,Far,4,3,939,16,20,1204,707
2457,DZ-333,District ZERO,Commercial,Nano,Lowrise,Far,Far,4,3,1024,17,21,680,1066
2457,DZ-350,District ZERO,Commercial,Nano,Lowrise,Far,Far,7,6,1005,31,38,1116,733
2457,DZ-374,District ZERO,Commercial,Nano,Lowrise,Far,Far,4,3,1091,19,23,907,806
2457,DZ-380,District ZERO,Commercial,Nano,Lowrise,Far,Far,4,3,1091,16,20,910,792
2467,TG-175,Tranquility Gardens,Commercial,Nano,Lowrise,Far,Far,4,3,875,16,20,3134,944
2467,TG-205,Tranquility Gardens,Commercial,Nano,Lowrise,Far,Far,5,4,673,21,26,2941,1155
2467,TG-297,Tranquility Gardens,Commercial,Nano,Lowrise,Far,Far,7,6,1159,31,38,3182,1356
2467,TG-302,Tranquility Gardens,Commercial,Nano,Lowrise,Far,Far,5,4,675,23,28,4132,709
2467,TG-317,Tranquility Gardens,Commercial,Nano,Lowrise,Far,Far,7,6,899,30,37,2900,1331
2467,TG-456,Tranquility Gardens,Commercial,Nano,Lowrise,Far,Far,4,3,618,16,20,3033,835
2473,SM-98,Space Mind,Residential,Micro,Lowrise,Far,Medium,4,3,1618,19,23,2185,366
2473,SM-99,Space Mind,Residential,Micro,Lowrise,Far,Medium,8,6,1706,34,42,2175,388
2473,SM-101,Space Mind,Residential,Micro,Lowrise,Far,Medium,5,4,1393,24,29,2236,345
2473,SM-105,Space Mind,Residential,Micro,Lowrise,Far,Medium,5,4,1726,21,26,2231,367
2473,SM-109,Space Mind,Residential,Micro,Lowrise,Far,Medium,5,4,1721,21,26,2163,389
2473,SM-112,Space Mind,Residential,Micro,Lowrise,Far,Medium,4,3,1634,19,23,2220,362
2473,SM-113,Space Mind,Residential,Micro,Lowrise,Far,Medium,6,5,1632,28,34,2158,358
2473,SM-232,Space Mind,Residential,Micro,Lowrise,Far,Medium,4,4,1250,20,24,1397,513
2473,SM-238,Space Mind,Residential,Micro,Lowrise,Far,Medium,3,3,1888,15,18,1460,423
2473,SM-243,Space Mind,Residential,Micro,Lowrise,Far,Medium,4,3,2067,18,22,1380,514
2473,SM-330,Space Mind,Residential,Micro,Lowrise,Far,Medium,4,3,1940,16,20,1337,332
2473,SM-340,Space Mind,Residential,Micro,Lowrise,Far,Medium,4,3,1340,16,20,1299,365
2473,SM-365,Space Mind,Residential,Micro,Lowrise,Far,Medium,5,4,1672,20,25,1186,471
2473,SM-366,Space Mind,Residential,Micro,Lowrise,Far,Medium,6,4,1501,24,30,1166,495
2473,SM-368,Space Mind,Residential,Micro,Lowrise,Far,Medium,6,5,1501,27,33,1127,540
2473,SM-369,Space Mind,Residential,Micro,Lowrise,Far,Medium,9,7,1466,37,46,1108,564
2473,SM-398,Space Mind,Residential,Micro,Lowrise,Far,Medium,8,6,1525,32,40,1087,573
2473,SM-399,Space Mind,Residential,Micro,Lowrise,Far,Medium,3,3,1491,15,18,1068,595
2473,SM-412,Space Mind,Residential,Micro,Lowrise,Far,Medium,4,3,1487,16,20,1105,552
2492,NS-69,North Star,Commercial,Micro,Lowrise,Far,Medium,4,3,1729,16,20,675,311
2492,NS-70,North Star,Commercial,Micro,Lowrise,Far,Medium,6,4,1731,24,30,647,338
2492,NS-71,North Star,Commercial,Micro,Lowrise,Far,Medium,4,3,1733,18,22,617,362
2492,NS-223,North Star,Commercial,Micro,Lowrise,Far,Medium,4,3,1761,17,21,799,482
2492,NS-349,North Star,Commercial,Micro,Lowrise,Far,Medium,5,4,2351,23,28,1304,471
2492,NS-350,North Star,Commercial,Micro,Lowrise,Far,Medium,5,4,2386,20,25,1261,490
2492,NS-351,North Star,Commercial,Micro,Lowrise,Far,Medium,4,3,2392,16,20,1218,512
2492,NS-352,North Star,Commercial,Micro,Lowrise,Far,Medium,4,3,2398,16,20,1175,536
2492,NS-390,North Star,Commercial,Micro,Lowrise,Far,Medium,3,3,2289,15,18,1303,523
2492,NS-391,North Star,Commercial,Micro,Lowrise,Far,Medium,3,3,2337,15,18,1261,540
2492,NS-393,North Star,Commercial,Micro,Lowrise,Far,Medium,3,3,2337,15,18,1174,582
2492,NS-570,North Star,Commercial,Micro,Lowrise,Far,Medium,4,3,1227,16,20,1754,325
2492,NS-688,North Star,Commercial,Micro,Lowrise,Far,Medium,5,4,1287,20,25,2196,343
2492,NS-726,North Star,Commercial,Micro,Lowrise,Far,Medium,4,4,1624,20,24,2190,382
2492,NS-728,North Star,Commercial,Micro,Lowrise,Far,Medium,4,3,1673,16,20,2191,384
2492,NS-751,North Star,Commercial,Micro,Lowrise,Far,Medium,6,5,1679,25,31,2196,395
2492,NS-770,North Star,Commercial,Micro,Lowrise,Far,Medium,4,3,1456,16,20,2293,303
2492,NS-823,North Star,Commercial,Micro,Lowrise,Far,Medium,7,5,1948,29,36,1079,449
2492,NS-825,North Star,Commercial,Micro,Lowrise,Far,Medium,5,4,1944,22,27,1012,501
2492,NS-826,North Star,Commercial,Micro,Lowrise,Far,Medium,6,5,1906,26,32,979,528
2492,NS-848,North Star,Commercial,Micro,Lowrise,Far,Medium,5,4,1908,20,25,1115,385
2513,DZ-4,District ZERO,Residential,Micro,Lowrise,Far,Medium,4,3,1615,16,20,956,524
2513,DZ-5,District ZERO,Residential,Micro,Lowrise,Far,Medium,8,7,1616,36,44,939,536
2513,DZ-6,District ZERO,Residential,Micro,Lowrise,Far,Medium,4,3,1617,16,20,922,548
2513,DZ-7,District ZERO,Residential,Micro,Lowrise,Far,Medium,4,3,1571,16,20,905,560
2513,DZ-182,District ZERO,Residential,Micro,Lowrise,Far,Medium,8,6,2042,32,40,1741,383
2513,DZ-262,District ZERO,Residential,Micro,Lowrise,Far,Medium,8,6,1475,32,40,1982,366
2513,DZ-264,District ZERO,Residential,Micro,Lowrise,Far,Medium,8,6,1606,32,40,1983,372
2513,DZ-301,District ZERO,Residential,Micro,Lowrise,Far,Medium,8,6,2091,32,40,1566,538
2513,DZ-365,District ZERO,Residential,Micro,Lowrise,Far,Medium,8,6,1775,34,42,1588,362
2513,DZ-408,District ZERO,Residential,Micro,Lowrise,Far,Medium,4,3,2258,16,20,1180,513
2513,DZ-418,District ZERO,Residential,Micro,Lowrise,Far,Medium,8,6,1212,33,41,1385,304
2513,DZ-420,District ZERO,Residential,Micro,Lowrise,Far,Medium,4,4,1654,20,24,1157,461
2513,DZ-425,District ZERO,Residential,Micro,Lowrise,Far,Medium,4,3,1218,19,23,1333,331
2513,DZ-427,District ZERO,Residential,Micro,Lowrise,Far,Medium,7,6,1986,30,37,1215,414
2513,DZ-447,District ZERO,Residential,Micro,Lowrise,Far,Medium,4,3,1452,18,22,934,413
2528,HH-43,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1922,16,20,903,363
2528,HH-97,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1695,16,20,1195,308
2528,HH-110,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2003,16,20,1240,373
2528,HH-111,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2002,16,20,1203,385
2528,HH-123,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,5,4,1885,24,29,1522,303
2528,HH-125,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,5,4,1431,22,27,1302,415
2528,HH-129,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1931,16,20,1124,469
2528,HH-169,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1873,16,20,1563,379
2528,HH-199,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,5,4,1534,20,25,1349,596
2528,HH-264,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1673,16,20,1621,383
2528,HH-265,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1711,16,20,1602,402
2528,HH-266,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,7,6,1705,30,37,1582,423
2528,HH-267,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,9,7,1693,36,45,1545,465
2528,HH-290,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1222,17,21,1504,502
2528,HH-296,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2171,16,20,1704,355
2528,HH-391,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1319,16,20,1449,574
2528,HH-420,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,9,7,1539,38,47,1433,559
2528,HH-434,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1472,16,20,1424,544
2528,HH-447,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1774,17,21,1478,461
2528,HH-448,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1277,16,20,1415,529
2528,HH-563,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1454,19,23,1162,524
2528,HH-564,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,5,4,2353,22,27,1133,559
2528,HH-589,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,5,4,2298,21,26,1134,513
2528,HH-590,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2295,18,22,1062,599
2528,HH-634,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1931,16,20,1101,493
2528,HH-635,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1911,18,22,1037,562
2528,HH-710,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2323,16,20,1158,491
2528,HH-719,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,6,5,1342,28,34,1288,433
2528,HH-725,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2081,16,20,1140,538
2528,HH-729,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,5,4,2148,21,26,1645,394
2528,HH-730,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2185,16,20,1293,461
2528,HH-737,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1966,16,20,1781,383
2528,HH-738,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,7,6,1647,31,38,1665,418
2528,HH-742,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1353,17,21,1776,371
2528,HH-785,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,1878,16,20,1563,444
2528,HH-786,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2375,17,21,1172,457
2528,HH-789,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,4,2228,20,24,1078,478
2528,HH-795,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,4,3,2284,16,20,1574,422
2528,HH-824,Haven Heights,Commercial,Micro,Lowrise,Far,Medium,3,3,1752,15,18,658,381
2567,NS-34,North Star,Residential,Micro,Lowrise,Far,Close,4,4,1569,20,24,640,147
2567,NS-35,North Star,Residential,Micro,Lowrise,Far,Close,9,8,2033,40,49,613,177
2567,NS-51,North Star,Residential,Micro,Lowrise,Far,Close,4,3,2036,16,20,653,208
2567,NS-68,North Star,Residential,Micro,Lowrise,Far,Close,4,3,1696,16,20,698,279
2567,NS-152,North Star,Residential,Micro,Lowrise,Far,Close,6,5,1430,26,32,1363,108
2567,NS-167,North Star,Residential,Micro,Lowrise,Far,Close,4,3,1830,17,21,1371,131
2567,NS-172,North Star,Residential,Micro,Lowrise,Far,Close,4,3,1295,16,20,1700,155
2567,NS-174,North Star,Residential,Micro,Lowrise,Far,Close,4,3,1525,16,20,1663,151
2567,NS-181,North Star,Residential,Micro,Lowrise,Far,Close,6,5,1321,25,31,1285,225
2567,NS-185,North Star,Residential,Micro,Lowrise,Far,Close,4,3,1370,16,20,1287,237
2567,NS-208,North Star,Residential,Micro,Lowrise,Far,Close,5,4,1776,22,27,1767,239
2567,NS-209,North Star,Residential,Micro,Lowrise,Far,Close,4,3,1807,17,21,1749,237
2567,NS-211,North Star,Residential,Micro,Lowrise,Far,Close,5,4,1807,21,26,1710,238
2567,NS-212,North Star,Residential,Micro,Lowrise,Far,Close,4,3,1807,19,23,1691,240
2567,NS-213,North Star,Residential,Micro,Lowrise,Far,Close,4,3,1618,16,20,1673,243
2567,NS-214,North Star,Residential,Micro,Lowrise,Far,Close,5,4,1674,22,27,1593,198
2567,NS-215,North Star,Residential,Micro,Lowrise,Far,Close,5,4,1721,21,26,1537,178
